Iteration	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	ln_branch_rates_mean	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
220	-3709.004	-3715.438	6.433687	0.5047156	0.1811689	0.155316	0.0959066	0.308511	0.0530313	0.125286	0.278295	0.17427	0.205534	0.111178	0.188711	0.0404131	0.152321	0.0633537	0.167809	0.194662	0.108166	0.38799	0.141907	0.1367692	0.0001060312	0.0117104	0.564685	0.00848115	0.00788841	0.389955	0.0172807	0.02216885	-1.989461	0.000259111	0.0236668	0.332759	3.64331	0.290877	0.31402	0.125349	0.269754	0.02227488	0.9952399
230	-3710.672	-3715.037	4.36488	0.5343916	0.2225367	0.26497	0.25464	0.312776	0.0782201	0.110021	0.45396	0.104705	0.17013	0.0921968	0.154908	0.157051	0.252224	0.0666418	0.267159	0.0683065	0.175623	0.0717402	0.227428	0.1334475	0.01498907	0.00998395	0.592425	0.00932203	0.0119313	0.35069	0.0256477	0.007667206	-2.014047	0.00106868	0.0477042	0.439889	3.51134	0.297084	0.296823	0.130582	0.275511	0.02265627	0.3384143
240	-3709.855	-3707.977	-1.877712	0.6433544	0.1956135	0.142644	0.276143	0.409056	0.0585841	0.0474577	0.0698604	0.098961	0.22887	0.119787	0.15997	0.396745	0.202296	0.0606811	0.146183	0.115752	0.200103	0.386226	0.376094	0.1970779	0.1331209	0.00931804	0.482355	0.00657283	0.00738432	0.473115	0.0212542	0.005753367	-1.624156	0.000454999	0.0312839	0.372113	3.59615	0.306164	0.290604	0.133493	0.269739	0.1388743	0.04142859
250	-3710.225	-3711.466	1.24068	0.5185354	0.1592192	0.16959	0.104286	0.613205	0.0780217	0.0944575	0.136655	0.14526	0.2993	0.0999129	0.190968	0.104132	0.544667	0.0786548	0.0668867	0.122306	0.405557	0.268366	0.148976	0.1436263	0.02871243	0.00966729	0.554966	0.00671758	0.00947693	0.407302	0.0118705	0.007547962	-1.940541	9.05168e-05	0.0140365	0.269425	3.71645	0.295353	0.295132	0.135573	0.273942	0.03626039	0.20816
260	-3709.694	-3714.886	5.19188	0.5679433	0.2213542	0.198304	0.146016	0.512859	0.0526489	0.102729	0.0881783	0.0998676	0.267916	0.0987947	0.154694	0.0994967	0.277087	0.113766	0.170058	0.0828489	0.307619	0.304406	0.0729243	0.1329102	0.03243428	0.0119656	0.517767	0.0102347	0.00407984	0.439448	0.0165052	0.005701919	-2.018081	0.00103386	0.0469312	0.437067	3.51497	0.314189	0.308063	0.111567	0.266182	0.0381362	0.1495146
270	-3713.796	-3714.754	0.9573918	0.6673231	0.1657833	0.151482	0.190561	0.379922	0.0486567	0.246304	0.240657	0.108686	0.156411	0.131305	0.141293	0.12842	0.154352	0.0582102	0.215389	0.233533	0.353043	0.297782	0.497169	0.1655089	0.03098278	0.0110412	0.517519	0.00248228	0.00172868	0.455222	0.0120066	0.03582519	-1.79873	0.000127653	0.0166526	0.288759	3.69446	0.299801	0.301848	0.127527	0.270824	0.06680797	0.5362413
280	-3709.927	-3711.329	1.40155	0.6020232	0.1883492	0.236673	0.202639	0.576058	0.0594246	0.0826778	0.174366	0.171852	0.246165	0.110564	0.178304	0.470122	0.0506324	0.0637747	0.0761799	0.135746	0.119236	0.170056	0.361852	0.1645571	0.006494601	0.0116096	0.5688	0.00814554	0.010993	0.393671	0.00678138	0.008542889	-1.804498	0.000346527	0.0273361	0.352573	3.61974	0.327314	0.286733	0.121141	0.264811	0.01503749	0.568106
290	-3702.812	-3707.944	5.132197	0.5624837	0.1947892	0.181122	0.137698	0.552961	0.0734016	0.0582803	0.1193	0.116682	0.269432	0.141511	0.143083	0.114119	0.105278	0.0806056	0.189639	0.146845	0.374072	0.229	0.22449	0.1348882	-0.03962857	0.0111785	0.575445	0.0044862	0.0118867	0.389575	0.00742842	0.04773126	-2.003309	0.000441605	0.0308245	0.369922	3.59881	0.309944	0.298817	0.120507	0.270733	0.008102685	5.890795
300	-3710.179	-3710.603	0.4241247	0.5073518	0.2075805	0.258435	0.177814	0.252809	0.0855654	0.0749034	0.160688	0.151071	0.32489	0.139361	0.123284	0.115109	0.150022	0.0638333	0.219701	0.256083	0.271878	0.28872	0.41572	0.1374753	-0.1273548	0.0106768	0.482657	0.0120568	0.00551789	0.485143	0.0039489	0.2298498	-1.984311	0.000683521	0.03826	0.403151	3.55791	0.297911	0.308443	0.124942	0.268704	0.102495	2.242547
310	-3717.911	-3716.238	-1.67323	0.4879065	0.1898359	0.191709	0.211514	0.370227	0.078658	0.0526729	0.186111	0.170371	0.181512	0.141537	0.255572	0.219514	0.15935	0.0727315	0.115371	0.0956812	0.296493	0.780027	0.193459	0.1558084	-0.08113119	0.00442531	0.547335	0.0151519	0.0190544	0.405369	0.00866431	0.2178703	-1.859128	0.000367013	0.0281253	0.356614	3.61489	0.302241	0.308367	0.13129	0.258102	0.1367391	1.593328
