Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
22	0	-3719.592	-3710.818	-8.773993	0.7845007	0.2208881	0.546954	0.0578814	0.198358	0.254077	0.133892	0.0796227	0.564919	0.250587	0.277661	0.446665	0.0659515	0.0518034	0.0470169	0.122345	0.0638844	0.187886	0.201648	0.570127	0.248055	-0.1386687	0.0183028	0.507585	0.0124858	0.0058422	0.455251	0.000532752	0.2379868	0.00102034	0.0466277	0.435951	3.5164	0.305282	0.284922	0.148511	0.261285	0.09931804	2.396209
23	1	-3733.003	-3719.291	-13.71226	0.3380508	0.1793248	0.603483	0.269825	0.487681	0.545991	0.0887368	0.206734	0.411882	0.258514	0.0903335	0.0178315	0.0319081	0.17363	1.02721	0.186539	0.209001	0.284569	0.523495	0.425876	0.3777073	0.05083542	0.00826463	0.489708	0.012285	0.00495818	0.473603	0.0111808	0.008296197	0.000239566	0.0227636	0.327593	3.6494	0.339052	0.284249	0.119771	0.256928	0.05913162	0.1403005
24	0	-3714.357	-3712.455	-1.902475	0.7003881	0.20005	0.480138	0.0505347	0.142105	0.178248	0.102615	0.0713664	0.141469	0.160494	0.125205	0.114231	0.233524	0.056726	0.131288	0.214683	0.116724	0.112029	0.419182	0.411031	0.1894945	0.0003833412	0.00907828	0.415116	0.00983087	0.0146955	0.55037	0.0009099	0.06178002	0.000532116	0.0338043	0.383788	3.58188	0.319712	0.297881	0.137882	0.244525	0.06216336	0.9938333
25	1	-3718.293	-3713.372	-4.920788	0.402206	0.1905187	0.437233	0.281176	0.294022	0.490739	0.0498617	0.106543	0.312563	0.217616	0.0879328	0.0189735	0.147486	0.215214	0.444399	0.0788644	0.129735	0.179346	0.102966	0.411622	0.1865282	0.03929485	0.0098073	0.567421	0.00676781	0.00416218	0.391033	0.0208089	0.003662989	0.00037671	0.028491	0.358463	3.61267	0.281304	0.299578	0.131837	0.287281	0.04295784	0.08526939
26	0	-3717.614	-3713.032	-4.581182	0.4683414	0.2068143	0.622453	0.0347821	0.180838	0.301	0.178791	0.092555	0.260062	0.116924	0.191911	0.181657	0.0974452	0.0666006	0.177103	0.138456	0.064278	0.210993	0.508258	0.231908	0.2374762	0.1006475	0.00942398	0.503015	0.0100079	0.00661818	0.469992	0.000942448	0.01775416	0.000666883	0.0377968	0.401207	3.56033	0.290538	0.286087	0.13107	0.292305	0.1184017	0.1499486
27	1	-3716.973	-3711.578	-5.394797	0.5319154	0.1758574	0.483214	0.228727	0.338148	0.534233	0.0747661	0.128691	0.428285	0.129969	0.151624	0.0200985	0.389602	0.0983686	0.0721554	0.0617649	0.105731	0.352683	0.149573	0.376152	0.2203822	0.02800789	0.00995432	0.582357	0.00407758	0.00284408	0.384244	0.0165229	0.002450499	0.000205798	0.0211104	0.317797	3.66089	0.278019	0.307756	0.130298	0.283927	0.03045839	0.08045399
28	0	-3715.585	-3708.526	-7.058896	0.6578259	0.1666548	0.587471	0.0433072	0.177727	0.30054	0.155266	0.115488	0.274822	0.254312	0.21844	0.124737	0.100092	0.062577	0.0624696	0.187641	0.362968	0.286241	0.310688	0.436375	0.2305755	0.2021881	0.0110158	0.472393	0.00786469	0.00939674	0.497906	0.00142371	0.00660893	0.000133342	0.0170173	0.291303	3.69155	0.273488	0.308451	0.135004	0.283056	0.208797	0.03165242
29	1	-3715.867	-3710.221	-5.645935	0.5208287	0.19789	0.545892	0.183603	0.191161	0.507853	0.0347317	0.0512207	0.423959	0.111035	0.0667547	0.0217556	0.242547	0.10417	0.063505	0.148401	0.108673	0.121858	0.249536	0.487026	0.1386735	0.1924362	0.0130211	0.562779	0.014571	0.00433701	0.398243	0.00704853	0.001606372	0.000493495	0.0325671	0.378129	3.58881	0.281532	0.311645	0.131944	0.274879	0.1940425	0.008278455
30	0	-3710.501	-3710.251	-0.2499546	0.6739887	0.1797	0.540127	0.0420901	0.160716	0.216742	0.146504	0.0875108	0.0599481	0.0390545	0.10203	0.0737809	0.18927	0.0601271	0.117771	0.276655	0.113749	0.0449798	0.303519	0.418164	0.1836879	0.07685671	0.0121464	0.521475	0.00456113	0.00710781	0.449366	0.0053428	0.01990971	0.00024345	0.022946	0.328647	3.64816	0.294984	0.295005	0.12476	0.285251	0.09676643	0.2057502
31	1	-3715.598	-3710.256	-5.34174	0.41837	0.1998635	0.308776	0.268684	0.169266	0.348849	0.0753109	0.156909	0.390741	0.155754	0.240659	0.0486284	0.121781	0.225003	0.254616	0.100446	0.121839	0.604476	0.255049	0.147779	0.1882405	0.09774971	0.0113751	0.536553	0.00615266	0.011847	0.42399	0.0100818	0.0008915311	0.0005287	0.0336968	0.383302	3.58247	0.280336	0.31457	0.131383	0.273711	0.09864124	0.009038117
