Iteration	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
330	-3738.46	-3720.703	-17.75699	0.2141332	0.1838481	0.2824469	-0.1590729	0.0119872	0.519238	0.00686899	0.00627987	0.449389	0.00623645	0.2932967	0.000289567	0.0250078	0.340209	3.63449	0.28486	0.289879	0.143778	0.281483	0.1342238	2.185132
340	-3739.184	-3723.61	-15.57445	0.2098373	0.2015632	0.3337331	0.02481463	0.0141028	0.433075	0.00619577	0.00735693	0.534993	0.00427689	0.04097121	0.000560419	0.0346822	0.387726	3.57703	0.285831	0.286111	0.132102	0.295957	0.06578584	0.6227967
350	-3744.374	-3728.898	-15.47633	0.2936587	0.1716655	0.2358544	-0.1717549	0.0121875	0.517274	0.00720717	0.00412782	0.444957	0.0142463	0.1890502	0.000169863	0.0191919	0.305814	3.67482	0.296387	0.304229	0.137959	0.261425	0.01729533	10.93071
360	-3740.811	-3723.787	-17.02353	0.2992173	0.197821	0.2671938	-0.03710382	0.0109839	0.523095	0.00700205	0.00357194	0.452531	0.00281542	0.1859392	0.000492296	0.032528	0.377947	3.58903	0.315468	0.292797	0.121969	0.269766	0.1488354	1.249294
370	-3743.949	-3728.51	-15.43908	0.2732467	0.2131115	0.2927363	-0.00958571	0.0161158	0.548133	0.0194113	0.00141663	0.41253	0.00239287	0.07124068	0.000812298	0.0416654	0.417004	3.54052	0.273991	0.326013	0.122407	0.277588	0.06165497	1.155473
380	-3740.345	-3722.025	-18.32005	0.236869	0.2150829	0.2903769	0.07433012	0.0132145	0.543001	0.0108609	0.00102564	0.429173	0.00272533	0.2004927	0.000861983	0.0429047	0.421865	3.53437	0.307549	0.276177	0.134288	0.281987	0.2748228	0.7295344
390	-3744.404	-3724.765	-19.63934	0.250592	0.1868986	0.2668585	-0.3586604	0.0179548	0.496075	0.0150098	0.00182201	0.467277	0.00186141	0.5097512	0.000327352	0.0265756	0.348609	3.62449	0.300442	0.269795	0.154292	0.275471	0.1510908	3.373807
400	-3739.104	-3722.378	-16.72613	0.2907083	0.1921303	0.252138	0.06425995	0.011653	0.562504	0.0155102	0.00282172	0.404985	0.00252666	0.1310917	0.00040033	0.0293624	0.362808	3.60743	0.309441	0.305324	0.132661	0.252575	0.1953517	0.671055
410	-3736.501	-3721.288	-15.21309	0.2921772	0.1952357	0.254778	0.08073379	0.015926	0.560319	0.0144298	0.00140828	0.403412	0.00450541	0.03537377	0.000448825	0.0310729	0.371109	3.59737	0.303434	0.295058	0.129332	0.272176	0.1161076	0.3046638
420	-3743.009	-3727.553	-15.45609	0.2918265	0.2553844	0.2568276	-0.07404268	0.0121359	0.484177	0.014738	0.00121268	0.485278	0.00245848	0.1235529	0.00237225	0.0706051	0.512704	3.41432	0.302581	0.284834	0.130764	0.281821	0.04951023	2.495503
