Iteration	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates[39]	branch_rates[40]	branch_rates[41]	branch_rates[42]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extant_mrca	extinction_rate	num_samp_anc	origin_time	psi	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
200	-3799.288	-3705.695	-93.59297	5.569302	0.1659974	0.00416705	0.0289856	0.0264374	0.0224335	0.0124652	0.00294939	0.0129138	0.0396536	0.0434682	0.00333083	0.00340158	0.000594908	0.0242561	0.0240053	0.0181329	0.0172878	0.00468824	0.0142351	0.0250528	0.00604104	0.0107477	0.0593892	0.00214452	0.00791467	0.0211628	0.00808736	0.00473784	0.0110624	0.0235271	0.0147262	0.0274966	0.0116677	0.00297065	0.00679905	0.00767914	0.020651	0.00504255	0.000716632	0.0162129	0.00515695	0.0212499	0.0379036	0.01839562	0.0301988	0.0108246	0.474744	0.00867354	0.00491504	0.498319	0.00252354	36.59966	0.1424653	4	40.7078	0.3169186	0.000129033	0.0167418	0.289384	3.69374	0.295256	0.299377	0.131617	0.27375	0.1726641	0.8251009
210	-3800.616	-3706.588	-94.02787	5.569302	0.1881978	0.0075669	0.0465129	0.0343815	0.016235	0.0130592	0.002252	0.0122699	0.0122571	0.0108611	0.00585535	0.00484181	0.000558949	0.0232652	0.058743	0.0220844	0.0218404	0.00559345	0.0177169	0.0144185	0.00393287	0.0148199	0.0360441	0.00101335	0.0315058	0.0248825	0.011921	0.023062	0.0031066	0.0414968	0.0116325	0.0195611	0.0377007	0.00222822	0.00523021	0.0103013	0.0281924	0.00692878	0.00114988	0.0153874	0.00657463	0.0199215	0.0328721	0.01809109	0.01753316	0.0120721	0.544779	0.0107295	0.009244	0.419772	0.00340325	35.97146	0.1424653	4	40.92029	0.3343338	0.000344489	0.0272563	0.35216	3.62024	0.295256	0.299377	0.131617	0.27375	0.1599985	0.8904167
220	-3793.157	-3713.618	-79.53863	5.569302	0.1575532	0.00686023	0.0423255	0.0265927	0.0134395	0.0122305	0.00220802	0.0256959	0.0225688	0.00274832	0.0122282	0.00562811	0.00121889	0.0262912	0.0523995	0.0362384	0.0169702	0.00262553	0.00652838	0.0122029	0.0107828	0.00565075	0.0132427	0.00099848	0.0327346	0.00471816	0.00868269	0.0206035	0.00596467	0.0221512	0.00900514	0.0103516	0.0364784	0.00385369	0.0110815	0.00957965	0.0104148	0.0133668	0.00184166	0.0131335	0.00483604	0.0128304	0.00801397	0.01565507	0.01753316	0.00535697	0.565368	0.00592602	0.0159599	0.398739	0.0086494	35.97146	0.1424653	4	40.95975	0.382888	8.25757e-05	0.0134099	0.264472	3.72204	0.293466	0.297562	0.136883	0.27209	0.1599985	0.8904167
230	-3805.766	-3715.867	-89.89863	6.791507	0.1542832	0.00491237	0.0275428	0.022857	0.00963542	0.0115986	0.0031605	0.0169532	0.0183265	0.00340657	0.0113101	0.0054601	0.00320096	0.0253185	0.0196742	0.0247091	0.00930857	0.00262726	0.0117508	0.0175201	0.00543787	0.0102384	0.0174749	0.00541148	0.0356093	0.00333344	0.00581327	0.0105093	0.00551355	0.0483245	0.0167444	0.0247467	0.0512467	0.00954011	0.023784	0.00837921	0.00944446	0.0425673	0.00615729	0.0170446	0.00905284	0.0164513	0.0525823	0.01793103	0.03210992	0.00569	0.576311	0.00606326	0.0182569	0.389581	0.00409736	34.86352	0.1231731	3	40.5985	0.3793531	6.85599e-05	0.0122247	0.254704	3.733	0.297896	0.303256	0.116849	0.281998	0.155283	0.7932169
240	-3813.144	-3716.948	-96.19588	6.791507	0.1936493	0.00794987	0.0364445	0.032817	0.0137394	0.014495	0.00334686	0.0370328	0.0160256	0.00225255	0.00980582	0.0350508	0.0204311	0.030942	0.00924666	0.0264963	0.0118893	0.00646162	0.0152707	0.0142565	0.0181434	0.0148703	0.0561777	0.00854806	0.0119789	0.00345476	0.0136923	0.054687	0.00943917	0.019065	0.0189197	0.007606	0.0320882	0.00507149	0.0479345	0.0126521	0.0191499	0.0477298	0.0052334	0.0080793	0.00962436	0.012945	0.0445887	0.01986508	0.03615351	0.00469062	0.57236	0.00595628	0.0031549	0.40633	0.00750837	34.86352	0.1191295	3	40.30774	0.3793531	0.000423553	0.0301939	0.366881	3.6025	0.297121	0.302467	0.119146	0.281265	0.155283	0.7671767
250	-3802.929	-3710.037	-92.89165	6.302722	0.2195986	0.00715235	0.0316315	0.0149718	0.0154305	0.0125623	0.00256047	0.00745856	0.0197959	0.00313174	0.00618375	0.0284394	0.0153313	0.0255958	0.00532238	0.0146368	0.0201586	0.00621834	0.00572083	0.0186757	0.0337543	0.0295203	0.0454024	0.00214792	0.00352302	0.00179472	0.0054145	0.0315903	0.00495543	0.0329282	0.00371365	0.00770653	0.0452113	0.0094055	0.0205769	0.0110197	0.019505	0.0125754	0.00607164	0.0103599	0.010095	0.0134724	0.0613551	0.01427096	0.02092727	0.0146906	0.60704	0.00495692	0.00768643	0.359058	0.00656841	19.98882	0.120585	3	40.35524	0.323704	0.000983586	0.0457915	0.432852	3.52037	0.292249	0.299497	0.110496	0.297759	0.1415123	0.8521169
260	-3810.341	-3717.644	-92.69633	5.355103	0.1769926	0.0121205	0.0323947	0.029135	0.014176	0.0184703	0.00564646	0.0165307	0.00806797	0.00124781	0.00794008	0.030031	0.0100902	0.0293424	0.0014429	0.0280554	0.010292	0.00434651	0.00471902	0.0217441	0.0176357	0.017695	0.0218717	0.00338738	0.00338235	0.0129859	0.0155278	0.0207646	0.0192043	0.0147247	0.00401142	0.00450634	0.0270617	0.00987974	0.0182743	0.00785563	0.0145938	0.0103211	0.0108087	0.0264578	0.00669411	0.00710122	0.00916902	0.01066924	0.002466864	0.0161893	0.560419	0.00868703	0.0056769	0.403923	0.00510474	15.86283	0.09690426	3	40.524	0.382484	0.000216435	0.0216451	0.321016	3.65712	0.27664	0.346958	0.104594	0.271808	0.09937112	0.9751752
270	-3796.502	-3711.794	-84.70814	6.988337	0.2010967	0.00649992	0.0289673	0.0184664	0.0212383	0.0155424	0.00663732	0.00347406	0.00528414	0.00520306	0.00534186	0.00178275	0.0315546	0.0197728	0.0037694	0.0382652	0.0241331	0.00524841	0.00637633	0.0103712	0.0140894	0.0449622	0.0182497	0.0121661	0.00639359	0.0322692	0.0307574	0.0209173	0.0360627	0.011443	0.00996557	0.047509	0.019032	0.0370407	0.00229418	0.0108956	0.0330845	0.00382286	0.0171188	0.00995562	0.00737316	0.000471114	0.0201288	0.01635009	0.05359962	0.0144723	0.479952	0.0058929	0.00870636	0.483186	0.00779034	11.01944	0.07980284	4	37.8168	0.4490906	0.000551583	0.0344106	0.386514	3.57852	0.309267	0.325977	0.127669	0.237087	0.1334025	0.5982111
280	-3785.362	-3715.806	-69.55573	5.389025	0.1754019	0.00699589	0.0341829	0.0317551	0.0223623	0.0142806	0.00194819	0.0021543	0.00102281	0.00413791	0.00401805	0.0111221	0.0357539	0.0245801	0.0116547	0.0454133	0.0280864	0.00267369	0.00418688	0.00486468	0.0052878	0.0115948	0.0178869	0.0141268	0.00321596	0.00567516	0.0167783	0.00185404	0.017785	0.0284582	0.00550319	0.00613195	0.011917	0.0678129	0.000935338	0.00840913	0.0166582	0.0137089	0.012511	0.00286976	0.0357617	8.51118e-05	0.0225284	0.01338313	0.09197883	0.0110519	0.496505	0.00901026	0.00575925	0.471236	0.00643738	11.80712	0.09864019	5	37.78891	0.4160716	0.00020164	0.0208976	0.316502	3.6624	0.311008	0.316911	0.141588	0.230493	0.190619	0.517473
290	-3790.038	-3710.115	-79.92246	5.952364	0.1625045	0.00850793	0.0504475	0.0337551	0.0334281	0.0164145	0.00332806	0.00217997	0.000354836	0.0198725	0.00721631	0.0109097	0.0644479	0.0518121	0.0258969	0.053946	0.0218741	0.00327594	0.00772817	0.0055467	0.00433485	0.0302798	0.0449719	0.0123977	0.0121172	0.00490983	0.0417402	0.011856	0.0156191	0.00915874	0.0557073	0.00239612	0.00706131	0.0644439	0.0187088	0.0179405	0.0473297	0.0126748	0.0339152	0.00157766	0.0369196	0.000306887	0.0133223	0.02784736	0.1038965	0.00918889	0.525386	0.0104236	0.00669838	0.443743	0.00456002	12.1343	0.1037312	6	37.41456	0.3884858	0.000107886	0.0153167	0.279138	3.70544	0.301408	0.306721	0.122857	0.269015	0.2076277	0.4996018
