Iteration	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extant_mrca	extinction_rate	ln_branch_rates_mean	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
210	-inf	-inf	-5.321217	1.665877	0.1725922	0.0282503	0.091916	0.0478963	0.0279676	0.0637249	0.225553	0.126832	0.382622	0.00876813	0.149197	0.319743	0.293208	0.0143242	0.0221114	0.316535	0.0524639	0.00568254	0.0547121	0.114206	0.08410822	0.00946697	0.528049	0.00210663	0.0027059	0.450978	0.00669338	2.57603	0.00463769	-2.169752	0.000177368	0.0196084	0.308476	3.67174	0.307719	0.29316	0.136433	0.262687	0.08874591	0.05225807
220	-3714.709	-3712.405	-2.30426	2.100556	0.154078	0.0299225	0.091813	0.0364459	0.0200919	0.0380354	0.179363	0.10584	0.484433	0.0114216	0.369129	0.15434	0.127498	0.012896	0.0445897	0.0187219	0.0981457	0.0366304	0.0141906	0.132552	0.03720532	0.016006	0.54819	0.00564728	0.0056071	0.420642	0.0039084	2.552987	0.003943797	-2.02078	6.77464e-05	0.0121523	0.25409	3.73369	0.288374	0.303815	0.127856	0.279956	0.04114912	0.09584159
230	-inf	-inf	-2.041612	1.528296	0.1961719	0.14355	0.0883746	0.0489604	0.0463011	0.0822627	0.137862	0.0781559	0.266906	0.0108565	0.171011	0.334409	0.102618	0.0174275	0.0996538	0.0540575	0.0765281	0.0153778	0.00951423	0.07796637	0.05997876	0.0137214	0.478833	0.00286176	0.00607025	0.493923	0.00459057	2.857447	0.008136785	-2.551478	0.000464235	0.0315966	0.373593	3.59435	0.285056	0.336936	0.126231	0.251777	0.06811555	0.1194556
240	-3706.523	-3708.173	1.650105	2.946127	0.1919651	0.0201401	0.102979	0.0537714	0.00631187	0.0453412	0.142285	0.0410638	0.288121	0.00568735	0.0648579	0.081279	0.164052	0.0143298	0.0427722	0.0494787	0.0103021	0.0116184	0.0354871	0.08593421	0.1134513	0.012829	0.49264	0.0035513	0.0068727	0.478961	0.00514605	4.298361	0.009392487	-2.454173	0.000397861	0.0292725	0.362364	3.60797	0.280332	0.331352	0.124139	0.264176	0.1228437	0.07645882
250	-inf	-inf	1.270386	1.450513	0.1742715	0.0329517	0.0972535	0.0525079	0.0044578	0.0477317	0.102497	0.101503	0.186137	0.00808911	0.0878203	0.159182	0.0391502	0.0420355	0.12141	0.045171	0.0559629	0.0131314	0.00533939	0.06243505	0.1630398	0.00880113	0.521956	0.00461521	0.00492515	0.455199	0.00450319	4.564757	0.03632448	-2.773628	0.000191594	0.0203741	0.313281	3.66615	0.304805	0.284952	0.123718	0.286526	0.1993643	0.1822015
260	-inf	-inf	1.890681	1.834568	0.1762715	0.0195098	0.101636	0.0653353	0.00368776	0.0405373	0.116861	0.066383	0.183124	0.00586958	0.0333645	0.0285424	0.0833484	0.0342022	0.0287269	0.0114049	0.153166	0.0122582	0.00937649	0.06184582	0.3099364	0.0079686	0.500376	0.0103761	0.00513964	0.472992	0.00314783	6.747179	0.01446399	-2.783111	0.000209631	0.0213047	0.318972	3.65951	0.295066	0.305384	0.136136	0.263414	0.3244004	0.04458684
270	-3704.153	-3715.18	11.02721	3.72622	0.194951	0.0222204	0.048166	0.0432219	0.00518789	0.0383597	0.0971898	0.0178686	0.106947	0.0030189	0.0219935	0.0705769	0.0479107	0.00884272	0.0115483	0.0136521	0.00810152	0.0176358	0.0272676	0.03401942	0.02788067	0.0126317	0.513151	0.00780251	0.00314266	0.459696	0.00357574	6.950723	0.03403824	-3.380824	0.000444213	0.0309144	0.370352	3.59829	0.28854	0.307766	0.138225	0.265469	0.06191891	0.5497229
280	-3705.526	-3713.518	7.991836	4.230057	0.1910452	0.00957543	0.0263323	0.024159	0.00473279	0.0219837	0.0448884	0.0812139	0.0767627	0.00181337	0.0798472	0.042249	0.02504	0.00715171	0.0157415	0.0283727	0.095555	0.0225755	0.0261311	0.04128823	0.03759796	0.0117006	0.532258	0.00602648	0.00883006	0.437205	0.00398	7.988871	0.06555632	-3.187178	0.000384312	0.0287744	0.359885	3.61096	0.296968	0.290827	0.139052	0.273153	0.1031543	0.6355172
290	-3702.284	-3718.816	16.53214	4.543961	0.1714617	0.0230767	0.0184975	0.0160979	0.0181078	0.0146723	0.0224356	0.0363889	0.0521606	0.000625083	0.0321713	0.0465231	0.0243587	0.00513507	0.0167496	0.0103526	0.0179312	0.0420725	0.0238569	0.0234456	0.03229272	0.0130549	0.450735	0.00484362	0.00716183	0.519766	0.00443873	7.702497	0.03995977	-3.753072	0.000168246	0.0191009	0.305228	3.6755	0.300805	0.296654	0.141838	0.260703	0.07225248	0.5530573
300	-3693.374	-3707.01	13.63677	3.748594	0.1789955	0.0155123	0.032423	0.0255479	0.00894434	0.0240776	0.0468939	0.0278441	0.0701027	0.00047605	0.0395297	0.0422692	0.0242443	0.00947079	0.0254102	0.0130705	0.0188528	0.0200062	0.0514397	0.02234504	-0.01512085	0.0139417	0.523287	0.00925269	0.0054543	0.442739	0.00532462	7.430748	0.06514762	-3.801151	0.000236193	0.0226041	0.326667	3.65049	0.315129	0.304369	0.129524	0.250979	0.05002677	1.302255
