Iteration	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
220	-3717.148	-3712.216	-4.932002	0.6001494	0.2002285	0.456073	0.0402641	0.241094	0.413629	0.188315	0.0983758	0.0514093	0.0253645	0.261215	0.199234	0.528348	0.0657836	0.147641	0.0703955	0.155017	0.0594726	0.190892	0.588741	0.1780774	0.0533263	0.0138839	0.438882	0.00468104	0.00615419	0.506534	0.0298653	0.05093983	0.000535401	0.0339074	0.384254	3.5813	0.294525	0.311119	0.122742	0.271614	0.1042661	0.4885558
230	-3723.489	-3714.124	-9.364809	0.5799816	0.216604	0.350921	0.0348713	0.236792	0.424812	0.161883	0.141958	0.222968	0.210208	0.296159	0.205285	0.0860091	0.0502594	0.103932	0.212208	0.0709887	0.771572	0.19455	0.542623	0.1613996	0.1505823	0.0137587	0.44832	0.015918	0.01091	0.489768	0.0213251	0.04995646	0.000901722	0.0438698	0.42559	3.52964	0.291322	0.307736	0.132282	0.26866	0.2005387	0.2491112
240	-3722.846	-3715.781	-7.065325	0.6307762	0.186497	0.376715	0.0247724	0.204133	0.2409	0.149153	0.080346	0.0393022	0.064273	0.156629	0.0547204	0.0744911	0.0765482	0.145254	0.300019	0.0404333	0.178387	0.335214	0.626326	0.1788431	0.1619053	0.0120605	0.444525	0.00596701	0.010305	0.517523	0.00961942	0.2537939	0.000322184	0.0263668	0.347509	3.6258	0.290502	0.320114	0.147432	0.241952	0.4156992	0.6105229
250	-3714.596	-3706.901	-7.694371	0.4496999	0.1624124	0.559836	0.0347903	0.18491	0.28819	0.182111	0.171973	0.129113	0.0799896	0.331192	0.173867	0.0502253	0.0920236	0.253569	0.0750713	0.768541	0.0619382	0.274709	0.530769	0.2380266	0.006195004	0.00726446	0.53131	0.00679596	0.00702771	0.441636	0.00596614	0.09528127	0.000107367	0.01528	0.278867	3.70575	0.285605	0.300427	0.144946	0.269022	0.1014763	0.9389512
260	-3709.048	-3706.34	-2.707568	0.4334218	0.1874715	0.459117	0.0733598	0.232521	0.423165	0.132353	0.157348	0.084191	0.0357794	0.181186	0.112291	0.26864	0.134871	0.141934	0.088936	0.309256	0.172804	0.322921	0.141548	0.1841967	0.04548833	0.0141647	0.567418	0.00769753	0.00740412	0.392879	0.0104362	0.03319149	0.00033483	0.0268748	0.350177	3.62261	0.290745	0.305833	0.129559	0.273863	0.07867982	0.4218552
270	-3728.429	-3721.981	-6.447302	0.5000278	0.1691259	0.583122	0.0423274	0.0730327	0.206694	0.127624	0.127573	0.0777261	0.0531744	0.107771	0.177039	0.778813	0.0684942	0.077586	0.668202	0.264175	0.505233	0.0395585	0.238444	0.1965781	0.0340273	0.0133399	0.566288	0.00612996	0.00947832	0.399936	0.00482787	0.02934967	0.00015052	0.0180734	0.298484	3.68329	0.275294	0.323727	0.13714	0.263839	0.06337697	0.4630968
280	-3717.103	-3711.074	-6.028826	0.4610724	0.1568114	0.940041	0.0728853	0.210382	0.283304	0.196218	0.157955	0.0763465	0.0468034	0.151814	0.0512317	0.178752	0.0697038	0.102629	0.258703	0.266194	0.156378	0.0583639	0.700236	0.1520159	-0.02142709	0.0142803	0.525132	0.0100847	0.00562251	0.441203	0.00367771	0.05606626	7.92176e-05	0.0131358	0.262262	3.72452	0.270824	0.333973	0.135648	0.259554	0.03463916	1.61858
290	-3715.55	-3709.667	-5.882956	0.4011289	0.1833468	0.661628	0.108378	0.342702	0.440863	0.216944	0.141929	0.280134	0.0701197	0.165202	0.0451481	0.681131	0.0776246	0.127838	0.227041	0.291457	0.0872472	0.0293738	0.226256	0.1930683	-0.01581979	0.0107548	0.557044	0.00734319	0.0077083	0.414269	0.00288063	0.02441595	0.000283679	0.0247544	0.33882	3.63614	0.287821	0.313105	0.121791	0.277282	0.008596164	2.840331
300	-3717.429	-3706.16	-11.26873	0.4119589	0.199715	0.709625	0.0636172	0.374843	0.447498	0.257577	0.303162	0.182015	0.0542772	0.125644	0.0897606	0.757781	0.0884633	0.181586	0.333703	0.185644	0.0750215	0.157125	0.862204	0.3195833	0.0358966	0.00750417	0.504813	0.00872843	0.0106933	0.461831	0.00642996	0.02293315	0.000525991	0.0336112	0.382914	3.58295	0.29626	0.310061	0.128156	0.265522	0.05882975	0.3898224
310	-3732.326	-3714.368	-17.95865	0.4781729	0.1934325	0.92529	0.0936163	0.570816	1.08298	0.233326	0.186487	0.0731761	0.0405428	0.402302	0.228408	0.215361	0.35371	0.0871358	0.0848082	0.344527	0.291174	0.0791609	0.834184	0.3762808	0.103771	0.00936612	0.505467	0.0050914	0.00933223	0.470227	0.000516991	0.1654366	0.000420181	0.0300747	0.366301	3.6032	0.331442	0.278973	0.123964	0.265622	0.2692076	0.6145317
