Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extant_mrca	extinction_rate	ln_branch_rates_mean	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
26	0	-12.63691	0	-12.63691	9.700735	6.286694	0.0642208	0.0235366	0.0999875	0.102208	0.0542715	0.11479	0.0273843	0.0686026	0.0984404	0.029744	0.0757577	0.038579	0.032654	0.0485211	0.0341442	0.0575326	0.0430681	0.0473063	0.1059485	-0.06893738	0.133436	0.210912	0.109031	0.510421	0.00964592	0.0265548	39.2135	0.1644212	-2.244802	0.548087	0.829458	1.08061	1.54185	0.435099	0.300177	0.0499249	0.214799	0.09548381	1.72198
27	1	-17.68838	0	-17.68838	17.92507	0.1653884	0.00155495	0.144598	0.0634938	0.0274988	0.0273443	0.0397886	0.0330056	0.0913518	0.335449	0.117845	0.0999322	0.104925	0.0461971	0.0706342	0.0931814	0.0414817	0.115547	0.0505799	0.07498847	0.0166848	0.251107	0.0392714	0.391872	0.121037	0.0757872	0.120926	30.87703	0.01305464	-2.590421	0.000125137	0.0164886	0.287604	3.69578	0.345223	0.0133314	0.0434433	0.598002	0.02973944	0.4389672
28	0	-12.45489	0	-12.45489	9.594789	12.61892	0.0218337	0.019259	0.0185604	0.0784999	0.071658	0.116066	0.0152523	0.231014	0.0283789	0.0593765	0.0671744	0.0396607	0.0676975	0.144868	0.157047	0.0346706	0.0748454	0.0668711	0.07981119	-0.05630183	0.190895	0.166177	0.160461	0.421078	0.0358642	0.0255243	32.17454	0.1333602	-2.528092	0.668266	0.887446	1.0675	1.37679	0.524209	0.104535	0.0313216	0.339934	0.0770584	1.730638
29	1	-24.3344	0	-24.3344	29.23983	0.4686248	0.00159977	0.282968	0.0645803	0.083206	0.185749	0.0539902	0.0595965	0.152976	0.182768	0.223147	0.192538	0.0826888	0.00129463	0.15484	0.00499414	0.236242	0.0486159	0.214278	0.1169647	-0.03268302	0.174832	0.0393087	0.31737	0.164582	0.111135	0.192772	29.90762	0.04455559	-2.145883	0.0277305	0.23094	0.796024	2.9453	0.27711	0.0186629	0.147717	0.55651	0.01187257	3.752818
30	0	-22.67948	0	-22.67948	27.43334	40.51193	0.026805	0.0783987	0.225169	0.0904776	0.261139	0.186748	0.0135866	0.158879	0.0184675	0.0544052	0.0784757	0.0360185	0.0286739	0.0690724	0.104376	0.0632326	0.211264	0.0475453	0.09688921	-0.04730969	0.242242	0.170764	0.193998	0.279266	0.0821551	0.0315753	33.61541	0.06528585	-2.334187	0.807959	0.942186	1.04373	1.20613	0.256333	0.271165	0.0160366	0.456466	0.01797616	3.631801
31	1	-36.37078	0	-36.37078	40.28491	0.9475536	0.0662207	0.559085	0.10559	0.382344	0.133289	0.0444118	0.104607	0.230953	0.3485	0.0589932	0.0455551	0.556933	0.0319973	0.0369403	0.00537821	0.0109148	0.036057	1.14296	0.2176333	-0.009749116	0.112352	0.0332984	0.281709	0.45538	0.0447293	0.0725311	41.88511	0.04275854	-1.524944	0.126374	0.4604	0.990735	2.42249	0.108481	0.0199179	0.24981	0.621791	0.03300942	1.295343
32	0	-15.72341	0	-15.72341	33.59319	73.47436	0.0191582	0.211434	0.136045	0.0260273	0.0905862	0.0662438	0.0072656	0.0316138	0.0422865	0.117314	0.0148531	0.0185233	0.0532829	0.0712111	0.180383	0.0675883	0.0136822	0.0534257	0.06477681	-0.0212779	0.424324	0.0300596	0.105389	0.240044	0.165207	0.0349766	44.37036	0.03572729	-2.736808	0.85585	0.958335	1.03389	1.15192	0.265405	0.131521	0.0388515	0.564223	0.01444938	2.472582
33	1	-46.74028	0	-46.74028	23.9417	1.062574	0.182972	0.495151	0.306443	1.1929	0.202661	0.538958	0.0407495	0.919842	0.209111	0.110965	0.285033	0.373113	0.0603127	0.106045	0.0204467	0.000193747	0.435748	0.339501	0.2727616	0.00112176	0.237603	0.0198052	0.406279	0.190088	0.11087	0.0353554	44.56991	0.03451559	-1.299157	0.149267	0.494784	1.00964	2.34631	0.292571	0.0236387	0.320801	0.362989	0.03563735	0.9685229
34	0	-17.73339	0	-17.73339	15.0976	115.7844	0.0274685	0.0416425	0.0687833	0.0324922	0.131925	0.0463846	0.0832594	0.0871722	0.0482785	0.265442	0.0144734	0.0609132	0.102901	0.0128792	0.214017	0.17434	0.0843555	0.0485064	0.07359862	-0.1553813	0.275185	0.0554439	0.224468	0.225007	0.187321	0.0325752	43.24704	0.1875038	-2.609129	0.884467	0.96741	1.02766	1.12047	0.20262	0.145962	0.082889	0.568529	0.03212251	5.837148
35	1	-45.322	0	-45.322	19.74061	6.263495	0.889143	0.290773	0.0207243	0.0762185	0.284308	0.622431	0.0892885	1.61353	0.106568	0.371492	0.126403	0.127556	0.121932	0.00586664	0.156425	0.0234766	0.497779	0.130042	0.2315502	-0.002805164	0.164374	0.0235207	0.277988	0.3344	0.177325	0.0223921	35.45913	0.0444659	-1.462959	0.547369	0.829075	1.08066	1.54289	0.473781	0.0835142	0.15126	0.291445	0.04166074	1.067334
36	0	-9.749149	0	-9.749149	18.0219	180.2833	0.0312685	0.0413336	0.109757	0.0254933	0.0620507	0.0520398	0.150164	0.0398234	0.0140454	0.0817902	0.0272411	0.0182026	0.0685033	0.00169388	0.13051	0.107412	0.0233608	0.0162597	0.05327445	-0.06350534	0.0921845	0.0480957	0.594416	0.148328	0.107427	0.00954794	31.18657	0.1006942	-2.932298	0.906983	0.974261	1.02257	1.09619	0.235923	0.171873	0.0645197	0.527684	0.03718882	2.707646
37	1	-28.55791	0	-28.55791	28.24628	4.442115	0.257734	0.28195	0.022887	0.0158153	0.491259	0.0632926	0.049	0.276856	0.0509616	0.158761	0.0295847	0.0326372	0.125965	0.0477886	0.0195643	0.167478	0.191398	0.218054	0.1409983	-0.005173703	0.194539	0.0415122	0.236313	0.221258	0.253808	0.0525702	38.33183	0.02235887	-1.959007	0.477115	0.789232	1.08411	1.64954	0.183659	0.403096	0.161277	0.251969	0.01718516	1.301056
38	0	-23.23875	0	-23.23875	7.085784	403.7212	0.0309423	0.0597586	0.0555061	0.00428645	0.0540295	0.0945699	0.593304	0.0939159	0.0162209	0.257228	0.090257	0.0166241	0.0592475	0.239653	0.0732617	0.272377	0.0120654	0.0851927	0.09156712	0.02702034	0.187359	0.0866781	0.348536	0.220982	0.127873	0.0285725	46.61964	0.1088758	-2.390683	0.937466	0.983142	1.01544	1.06395	0.258862	0.198387	0.0981949	0.444556	0.1358962	0.8011692
39	1	-30.82308	0	-30.82308	42.46262	7.090086	0.125343	0.0860861	0.0491764	0.00517618	0.0848614	0.0580123	0.0132	0.0255526	0.0700136	0.0676341	0.122044	0.51619	0.53614	0.610036	0.0171222	0.172514	0.143489	0.014991	0.1844847	0.005080791	0.138025	0.058651	0.228704	0.27798	0.262503	0.0341364	43.27166	0.0118974	-1.690189	0.570976	0.84141	1.07874	1.50887	0.17611	0.263369	0.423936	0.136585	0.01697819	0.700746
40	0	-16.96286	0	-16.96286	12.0651	595.7431	0.00462501	0.0563002	0.0735484	0.0337738	0.0768635	0.0728601	0.0310606	0.0399618	0.00476255	0.0430125	0.166626	0.272867	0.00807305	0.0628655	0.127253	0.180738	0.057647	0.120869	0.1009951	0.0277748	0.316166	0.183644	0.196484	0.168432	0.123442	0.0118323	39.24707	0.0625646	-2.292683	0.948413	0.986223	1.01282	1.05255	0.240479	0.189378	0.151762	0.418381	0.09033939	0.6925506
41	1	-20.89665	0	-20.89665	21.74151	50.62741	0.049501	0.0636976	0.227329	0.00523512	0.277757	0.0593991	0.0612697	0.0802311	0.290748	0.132016	0.0621733	0.0956357	0.226622	0.0892498	0.000709881	0.0595494	0.0626237	0.0210153	0.1447477	-0.003014741	0.172818	0.0714662	0.351268	0.194982	0.160048	0.0494175	23.32731	0.01570836	-1.932763	0.827438	0.948903	1.03982	1.18384	0.0564894	0.169294	0.432055	0.342161	0.01269361	1.237501
42	0	-23.94104	0	-23.94104	12.96873	780.9743	0.0591672	0.101022	0.00826458	0.00509845	0.330531	0.0275487	0.0276858	0.505718	0.0675365	0.0325435	0.153655	0.34059	0.0441467	0.0821894	0.0680559	0.0435173	0.302831	0.119322	0.09442491	0.0252221	0.615767	0.113079	0.0760237	0.0945405	0.0873627	0.0132272	21.42968	0.01451714	-2.35995	0.954889	0.988019	1.01125	1.04584	0.161615	0.0672243	0.589078	0.182083	0.03973924	0.3653101
