Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates[39]	branch_rates[40]	branch_rates[41]	branch_rates[42]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extant_mrca	extinction_rate	num_samp_anc	origin_time	psi	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
20	0	-3788.22	-3717.089	-71.1317	7.776857	0.1922115	0.00122153	0.00640361	0.0166865	0.000274859	0.000163282	0.0291709	0.0165362	0.0102642	0.0136025	0.0074266	0.0219842	0.0104113	0.00894747	0.0150699	0.00747063	0.072266	0.00552304	0.0573089	0.00904773	0.0151806	0.0283748	0.0265058	0.0148628	0.0267799	0.0185193	0.00229451	0.0236098	0.0268549	0.00818748	0.00516942	0.00736882	0.0180114	3.91264e-06	4.93519e-07	0.00157732	0.00403436	0.0393339	0.0161185	0.0091701	0.00657431	0.00406753	0.00494317	0.01611619	-0.03715805	0.00928743	0.474856	0.00946424	0.00267022	0.50048	0.00324137	22.77547	0.1467029	8	38.3214	0.288895	0.000401547	0.0294066	0.363027	3.60717	0.290365	0.301866	0.156469	0.2513	0.1095449	1.339204
21	1	-3805.326	-3714.061	-91.26498	7.524517	0.1637027	0.0135464	0.0239674	0.0142867	0.0161133	0.0109347	0.000266398	0.0383574	0.00884218	0.0271533	0.0174287	0.00506349	0.00164175	0.0149998	0.00860337	0.00472312	0.0277002	0.00361257	0.00958795	0.00555181	0.00414531	0.0106486	0.0495205	0.0226876	0.0031702	0.0173448	0.00182902	0.00680235	0.0127871	0.0621082	0.0120354	0.00435755	0.0305815	0.00577217	0.0125326	0.00725254	0.0883968	0.000464259	0.0112879	0.00238502	0.00218441	0.0122757	0.00885829	0.01456667	-0.01627245	0.0104961	0.546994	0.00228053	0.00446099	0.423633	0.0121355	35.48856	0.1162352	4	41.10998	0.3621201	0.000114817	0.0157982	0.282663	3.70142	0.30352	0.308678	0.127523	0.260279	0.09996276	1.162785
22	0	-3782.563	-3713.573	-68.98972	7.776857	0.1735002	0.00108362	0.00427523	0.0163634	0.000387211	0.000207527	0.0293304	0.0101491	0.0127648	0.0120877	0.0051951	0.0225747	0.0148167	0.00669911	0.0159883	0.00593783	0.0714068	0.00530316	0.0497135	0.00753251	0.00751306	0.0394749	0.0123341	0.00636255	0.0300679	0.0230204	0.00244668	0.0244937	0.050988	0.00753863	0.00521554	0.0101818	0.0149083	1.26955e-05	5.6005e-07	0.00264626	0.00235715	0.0355029	0.0150825	0.0164366	0.00257113	0.00248077	0.00643879	0.01560802	-0.02126879	0.00562827	0.474315	0.0121121	0.00336166	0.499909	0.00467419	20.14887	0.1308137	8	37.95585	0.3631574	0.000184958	0.0200206	0.311077	3.66872	0.326315	0.295382	0.1324	0.245903	0.1095449	1.194156
23	1	-3807.909	-3710.168	-97.74109	7.524517	0.1732746	0.013574	0.0205065	0.0141946	0.012108	0.00980753	0.000588212	0.0518987	0.00571709	0.032746	0.0198168	0.00868156	0.00322751	0.0300972	0.0139893	0.00596918	0.0249616	0.00460275	0.0190059	0.00664308	0.00959708	0.0224445	0.0435066	0.0266509	0.00260067	0.0180861	0.0035548	0.00513594	0.0167448	0.0852204	0.0113191	0.00403621	0.0393345	0.00327937	0.00662	0.0119239	0.0827805	0.000887812	0.0175154	0.00260144	0.00340897	0.0170065	0.00759714	0.02059603	-0.01627245	0.010489	0.533612	0.00353403	0.00996902	0.435109	0.00728649	35.48856	0.1162352	4	41.10998	0.3621201	0.00018305	0.0199178	0.310432	3.66947	0.3055	0.3078	0.12716	0.259539	0.09996276	1.162785
24	0	-3785.33	-3716.276	-69.05469	7.776857	0.1804393	0.000751599	0.00182216	0.0110857	0.000887555	9.35475e-05	0.0342785	0.0223995	0.0177471	0.0177525	0.0100973	0.0173789	0.0142995	0.00669269	0.0227651	0.0069266	0.0547067	0.00555017	0.0369225	0.00814846	0.013215	0.0484997	0.0202015	0.00412327	0.0503312	0.0114305	0.00199429	0.0169671	0.0400235	0.0134173	0.00222594	0.0108071	0.00883957	7.6604e-05	4.64824e-07	0.00464547	0.00329709	0.0220489	0.0199822	0.0188052	0.00202518	0.00237588	0.00726706	0.01201361	0.02695732	0.00813178	0.489407	0.00515505	0.00246056	0.481321	0.0135248	20.14887	0.1068582	8	38.49792	0.3488949	0.000251242	0.0233075	0.330719	3.64572	0.329448	0.306996	0.127239	0.236317	0.1338155	0.7985486
25	1	-3811.59	-3716.358	-95.23203	7.524517	0.1846451	0.00895556	0.0296313	0.0134204	0.0103703	0.0135051	0.000613995	0.0706597	0.00216281	0.0403185	0.0135828	0.0122915	0.00486847	0.0330876	0.0205226	0.00771371	0.0173889	0.00287467	0.0272077	0.00356567	0.0055571	0.0195617	0.035703	0.010253	0.00178525	0.0143405	0.00383404	0.00413857	0.0118639	0.0653972	0.00896865	0.00600759	0.0424775	0.00293156	0.00499336	0.0120165	0.0640838	0.00103323	0.0203844	0.002412	0.00473968	0.0121488	0.0100157	0.01938874	-0.01627245	0.00529709	0.571133	0.00660838	0.0120619	0.392777	0.0121222	35.48856	0.1162352	4	41.10998	0.3621201	0.000299114	0.0254133	0.342412	3.63188	0.284092	0.321236	0.129632	0.265039	0.09996276	1.162785
26	0	-3798.454	-3717.217	-81.23729	7.776857	0.1999979	0.00142437	0.000977054	0.0189237	0.00102092	7.45464e-05	0.0291794	0.01744	0.0238323	0.0175577	0.0106217	0.0283917	0.0139149	0.00858125	0.0305469	0.00606744	0.0665033	0.00604009	0.0543908	0.00737421	0.0194627	0.0521471	0.0418672	0.00438155	0.0641217	0.0110912	0.00212457	0.0266204	0.0436386	0.0128649	0.00320152	0.0154599	0.0115142	7.22565e-05	4.41808e-07	0.00256619	0.00627706	0.0286837	0.0243558	0.0167935	0.00394938	0.00474287	0.0100798	0.01392804	0.02695732	0.0115444	0.42839	0.0103925	0.0027383	0.5389	0.00803415	20.14887	0.1068582	7	38.67741	0.3488949	0.00053116	0.0337743	0.383652	3.58204	0.284121	0.304654	0.144753	0.266472	0.1338155	0.7985486
27	1	-3806.884	-3715.526	-91.35848	7.524517	0.1502515	0.00739485	0.0245468	0.0162579	0.00917654	0.00884963	0.000505463	0.0423402	0.00360186	0.0330892	0.0108963	0.0143235	0.00463176	0.0402266	0.0164573	0.00664459	0.01353	0.00453697	0.0136547	0.00280938	0.00303273	0.0142761	0.0513446	0.0157042	0.00346562	0.0275558	0.00335264	0.00651833	0.0155066	0.0519459	0.00719457	0.0053553	0.0249779	0.0017804	0.00594075	0.0156776	0.0625674	0.00186451	0.0157334	0.00246096	0.00392487	0.0168976	0.0133058	0.0151595	-0.01627245	0.00551943	0.608915	0.00554468	0.0110411	0.362542	0.00643757	35.48856	0.1162352	4	41.10998	0.3621201	5.39039e-05	0.0108457	0.242585	3.74652	0.296305	0.313955	0.125598	0.264142	0.09996276	1.162785
28	0	-3779.355	-3712.111	-67.24363	6.563579	0.1711287	0.00126205	0.000622487	0.0189379	0.000865397	6.54632e-05	0.0277423	0.0128304	0.0103886	0.0148525	0.00382699	0.0227288	0.0121522	0.0103459	0.0155686	0.00408586	0.058438	0.00380518	0.0365606	0.00423817	0.0137934	0.0243007	0.0369169	0.00601536	0.0351109	0.00646269	0.0013882	0.00678469	0.0167375	0.0153041	0.00457226	0.0187907	0.00810817	5.16565e-05	4.84995e-07	0.00255788	0.00693057	0.0191245	0.00226468	0.0121757	0.00517671	0.00214799	0.0116061	0.01187654	0.03391739	0.0144851	0.493163	0.0125417	0.00208887	0.467312	0.010409	20.14887	0.1137154	6	38.6136	0.3364741	0.000165628	0.0189527	0.304269	3.67661	0.284131	0.306419	0.144128	0.265321	0.1476328	0.7702584
29	1	-3816.386	-3714.325	-102.0607	7.524517	0.1686215	0.00821522	0.0200014	0.0180445	0.0172161	0.0107834	0.0004984	0.0581197	0.00513904	0.0547132	0.0145641	0.0115762	0.00545914	0.0557634	0.026226	0.0144993	0.00711125	0.00398052	0.00676515	0.00465456	0.00333691	0.0348349	0.0502685	0.00687268	0.00734877	0.0314136	0.00172567	0.00598903	0.0150645	0.124697	0.0085274	0.00601307	0.0180587	0.00397506	0.00524004	0.0273989	0.0760387	0.00164867	0.0118806	0.00250675	0.00456549	0.0257469	0.0131905	0.0192384	-0.01627245	0.0107348	0.560727	0.00738966	0.00542509	0.40847	0.00725307	35.48856	0.1162352	4	41.10998	0.3621201	0.000146885	0.0178552	0.297022	3.68498	0.294961	0.302843	0.14024	0.261955	0.09996276	1.162785
