Iteration	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extant_mrca	extinction_rate	ln_branch_rates_mean	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
220	-9.952716	0	-9.952716	21.44349	736.0715	0.0470364	0.0660212	0.0137106	0.00882455	0.10004	0.0129725	0.023308	0.0966724	0.0395566	0.00686639	0.0733842	0.0707421	0.0256134	0.0421384	0.0329145	0.0338927	0.0366349	0.0750176	0.07378067	-0.07461272	0.207612	0.211576	0.0926435	0.365808	0.0888331	0.0335268	31.04088	0.1080971	-2.606658	0.953545	0.987648	1.01158	1.04723	0.106457	0.0538872	0.480473	0.359182	0.03348441	3.228283
230	-3.697839	0	-3.697839	6.258148	613.1597	0.123051	0.130453	0.0729381	0.059126	0.0909241	0.0313006	0.030325	0.238417	0.0459416	0.0440628	0.0782193	0.0481345	0.0084615	0.0795899	0.0209182	0.00842525	0.0191068	0.0282072	0.05744914	-0.01409049	0.326444	0.197234	0.0882235	0.240271	0.115915	0.0319123	9.347168	0.05358129	-2.856855	0.949144	0.986427	1.01264	1.05179	0.0426676	0.0244475	0.831253	0.101632	0.0394908	1.356804
240	-13.36601	0	-13.36601	5.725629	331.6048	0.0977675	0.390769	0.00891227	0.0334927	0.0219797	0.0196756	0.0261692	0.238586	0.0754764	0.0810367	0.0947733	0.136564	0.0138404	0.0383661	0.0864068	0.0114342	0.0371865	0.527645	0.09745574	0.01751628	0.325986	0.25447	0.128885	0.100152	0.157323	0.033184	10.40156	0.02345716	-2.328357	0.931086	0.98132	1.01696	1.07064	0.0513164	0.00838121	0.875042	0.0652601	0.04097344	0.5724968
250	-2.613762	0	-2.613762	6.786627	699.1805	0.0384458	0.0574438	0.00279538	0.0922442	0.0211839	0.00647304	0.0544198	0.160848	0.118406	0.0342888	0.0905925	0.148609	0.0741259	0.100778	0.123638	0.00271562	0.00569955	0.0990349	0.08039142	0.01707386	0.386634	0.0686051	0.0602538	0.180684	0.277984	0.0258388	6.811072	0.02578664	-2.520848	0.952346	0.987316	1.01187	1.04847	0.0392949	0.013816	0.892758	0.0541315	0.04286049	0.6016412
260	4.62415	0	4.62415	13.02109	435.7818	0.0128591	0.0470156	0.0132277	0.081781	0.0155008	0.0314076	0.0834117	0.051538	0.0241813	0.0844938	0.0345765	0.0478397	0.0137827	0.002086	0.0271737	0.00514984	0.0100933	0.0270926	0.04645195	-0.06594611	0.395093	0.0293924	0.155764	0.0859912	0.298647	0.0351135	20.37022	0.1013885	-3.069337	0.939783	0.983799	1.01489	1.06153	0.367706	0.115738	0.354144	0.162412	0.03544243	2.860654
270	11.99416	0	11.99416	7.64279	585.2536	0.018952	0.0536712	0.00881808	0.0185242	0.00123148	0.0987035	0.00552313	0.005903	0.00449193	0.016823	0.0247532	0.00695733	0.00317895	0.0226177	0.0347312	0.115714	0.0148058	0.0216167	0.03765897	-0.1426747	0.337443	0.108925	0.069457	0.155779	0.272716	0.05568	9.093522	0.1899125	-3.279184	0.947957	0.986096	1.01293	1.05302	0.19585	0.199513	0.393753	0.210884	0.04723781	4.02035
280	23.34372	0	23.34372	5.638303	1177.696	0.0128889	0.0277375	0.0191628	0.0406622	0.000961636	0.00627916	0.000909163	0.0117337	0.0179264	0.0256697	0.00969302	0.00187877	0.0190043	0.0126794	0.00430462	0.0159479	0.0485352	0.0278383	0.02020882	0.006708552	0.208726	0.125154	0.13879	0.307104	0.127718	0.092508	7.322857	0.06719358	-3.901636	0.963207	0.990298	1.00922	1.03728	0.106561	0.248428	0.393848	0.251162	0.07390213	0.9092238
290	17.00812	0	17.00812	22.74424	634.7683	0.00902073	0.0110553	0.0276535	0.0215454	0.000402406	0.0268015	0.000471726	0.0166857	0.0191799	0.0290413	0.0171785	0.0170539	0.013151	0.0130956	0.00893188	0.00617058	0.0350703	0.00315406	0.02419996	-0.0906482	0.148163	0.0404726	0.245034	0.158935	0.339975	0.0674195	47.59225	0.1666013	-3.721404	0.950009	0.986667	1.01243	1.05089	0.101993	0.208258	0.221071	0.468678	0.07595307	2.193476
300	18.83328	0	18.83328	2.14722	978.2047	0.0450831	0.00824579	0.0306281	0.0631165	0.00165347	0.0192086	0.000284625	0.00287542	0.0120826	0.0365006	0.0117592	0.0445801	0.00913908	0.0213067	0.017181	0.0413803	0.00184017	0.0105148	0.01491447	0.009613208	0.181091	0.0382802	0.27728	0.142365	0.301326	0.0596588	6.601529	0.131652	-4.205423	0.959656	0.989329	1.01009	1.04093	0.109805	0.0790566	0.172825	0.638314	0.1412652	0.9319492
310	20.77106	0	20.77106	11.72574	2384.415	0.0246314	0.00650537	0.0227781	0.0156594	0.00155305	0.0124422	0.00451079	0.0208587	0.0160584	0.0106444	0.00845919	0.0330919	0.0354256	0.00618049	0.0320792	0.00452984	0.00319296	0.00646459	0.01445087	0.1722553	0.0490276	0.0740802	0.277997	0.183954	0.344201	0.0707398	47.92996	0.06250436	-4.237	0.97409	0.993232	1.00653	1.02615	0.316632	0.199971	0.142074	0.341324	0.2347596	0.2662483
