Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
37	1	-3735.612	-3720.827	-14.78528	0.2105665	0.195811	0.3024541	0.02990092	0.0149007	0.543677	0.00509959	0.00813039	0.425437	0.00275549	0.008295144	0.000458251	0.0313943	0.372637	3.59551	0.278209	0.315829	0.129713	0.276249	0.03819606	0.2171728
38	0	-3736.39	-3720.398	-15.99213	0.2078006	0.165703	0.3073618	-0.07294475	0.0102844	0.527092	0.00520175	0.00864751	0.445189	0.00358535	0.1304958	0.000127138	0.0166192	0.288524	3.69473	0.304079	0.306743	0.131219	0.257959	0.05755107	2.267479
39	1	-3737.248	-3722.622	-14.62565	0.2239011	0.2051889	0.2571406	0.04682779	0.0115553	0.529119	0.0136345	0.00780153	0.435839	0.00205084	0.01765707	0.000632533	0.0368216	0.397064	3.56548	0.293625	0.29857	0.136901	0.270904	0.06448485	0.2738173
40	0	-3736.972	-3721.092	-15.88006	0.2137487	0.1469527	0.3650409	-0.01802267	0.00857346	0.607173	0.00894848	0.00652612	0.363983	0.00479622	0.06194358	4.38416e-05	0.00978561	0.232616	3.75755	0.312251	0.296636	0.126222	0.264891	0.04392091	1.410344
41	1	-3738.091	-3722.917	-15.17383	0.2371395	0.1963514	0.3484168	0.007916494	0.00486525	0.462446	0.0151321	0.00681848	0.505261	0.00547668	0.01449644	0.000467233	0.0316975	0.374068	3.59377	0.307285	0.320178	0.121949	0.250588	0.02241293	0.646789
42	0	-3734.312	-3718.228	-16.08435	0.2009274	0.1822828	0.3468845	-0.007521131	0.0101665	0.589269	0.00443513	0.00269009	0.389195	0.00424412	0.08131416	0.000271471	0.0242202	0.335865	3.63964	0.312457	0.288059	0.126936	0.272548	0.07379303	1.101922
43	1	-3743	-3723.982	-19.01806	0.2270676	0.189606	0.2924718	0.5517298	0.00754587	0.460517	0.0164639	0.00426362	0.503154	0.00805487	0.008775649	0.00036379	0.0280026	0.355991	3.61564	0.321949	0.308025	0.128948	0.241077	0.5605054	0.01565667
44	0	-3734.597	-3718.996	-15.60142	0.2095693	0.1862395	0.319631	0.1071369	0.0136271	0.589929	0.00666403	0.000664668	0.386632	0.00248349	0.01075473	0.0003189	0.0262333	0.346802	3.62665	0.319611	0.287002	0.129843	0.263544	0.1178917	0.09122552
45	1	-3738.255	-3722.675	-15.58031	0.2124061	0.1711331	0.326297	0.07889104	0.010402	0.573218	0.00748135	0.00726829	0.382993	0.0186369	0.01898092	0.000165662	0.0189547	0.304282	3.6766	0.31379	0.324846	0.117635	0.243729	0.09787196	0.1939362
46	0	-3739.686	-3722.078	-17.60802	0.2023375	0.1732194	0.3035858	0.2974972	0.0165507	0.462187	0.00745186	0.00083342	0.499706	0.0132719	0.04847673	0.000182585	0.0198927	0.310273	3.66965	0.314504	0.282417	0.135248	0.267831	0.3459739	0.1401167
47	1	-3735.645	-3720.631	-15.01445	0.2545896	0.2111667	0.2521812	-0.03099528	0.014527	0.544683	0.00603423	0.00994381	0.413251	0.0115604	0.08164673	0.000765253	0.0404557	0.412168	3.54661	0.311615	0.292953	0.13019	0.265243	0.05065145	1.611933
48	0	-3744.991	-3726.884	-18.10712	0.2397621	0.1683161	0.2554579	-0.03642247	0.0210521	0.577133	0.00865303	0.000761022	0.375334	0.0170672	0.2645712	0.000144717	0.0177238	0.296136	3.686	0.29188	0.298725	0.135317	0.274077	0.2281487	1.159644
49	1	-3742.553	-3727.097	-15.45529	0.253136	0.23083	0.2915756	0.07230017	0.0122264	0.501594	0.00922172	0.00903682	0.455008	0.0129131	0.03257766	0.00133539	0.0532388	0.459279	3.48615	0.277839	0.303289	0.134531	0.284342	0.1048778	0.3106248
50	0	-3738.971	-3721.666	-17.30452	0.2418485	0.2127222	0.2751737	-0.1484545	0.00826856	0.505498	0.0106011	0.00169358	0.459835	0.0141038	0.2601503	0.000802723	0.0414222	0.416039	3.54174	0.282098	0.306861	0.133572	0.277468	0.1116958	2.329096
51	1	-3740.588	-3723.437	-17.15087	0.2849867	0.2282935	0.2535772	0.2988345	0.0193849	0.476478	0.0139707	0.0074959	0.473762	0.00890892	0.03679161	0.00124958	0.0515256	0.453422	3.4938	0.29602	0.311772	0.139657	0.252551	0.3356261	0.1096208
52	0	-3740.509	-3724.632	-15.87627	0.247657	0.2259029	0.2736732	-0.1006385	0.00532211	0.502313	0.0155424	0.00381332	0.467369	0.00564061	0.1556605	0.00117215	0.0499272	0.447843	3.50106	0.285497	0.310558	0.127898	0.276047	0.05502198	2.82906
53	1	-3741.878	-3722.903	-18.97479	0.2693372	0.242078	0.2811174	0.07679151	0.00894814	0.601324	0.0120964	0.00721409	0.361053	0.00936398	0.2403089	0.00176288	0.0610315	0.484479	3.45273	0.300358	0.287175	0.128578	0.283889	0.3171005	0.7578322
54	0	-3741.666	-3722.668	-18.9977	0.2595501	0.2191092	0.2977538	-0.08761236	0.0110984	0.4867	0.0135092	0.00604045	0.479034	0.00361752	0.3112906	0.000969873	0.0454755	0.431672	3.52188	0.292253	0.298657	0.143622	0.265468	0.2236782	1.391689
55	1	-3737.898	-3720.718	-17.18002	0.2623162	0.2040559	0.2713703	-0.1018958	0.00818465	0.556979	0.00892948	0.00727226	0.409639	0.00899538	0.2346304	0.000609334	0.0361476	0.39416	3.56908	0.292646	0.305675	0.129141	0.272538	0.1327346	1.767666
56	0	-3740.608	-3724.796	-15.81185	0.2342457	0.2266749	0.2802505	-0.07023324	0.0193201	0.469146	0.0107596	0.00711349	0.488908	0.00475327	0.1349437	0.00119679	0.0504416	0.449651	3.49871	0.274812	0.308045	0.145164	0.271979	0.06471042	2.085347
57	1	-3740.058	-3723.824	-16.23392	0.2827616	0.2172476	0.2795061	0.1504267	0.00800345	0.576551	0.00786493	0.0147194	0.380228	0.0126333	0.04729719	0.000918907	0.0442804	0.427158	3.52764	0.307587	0.296082	0.132345	0.263986	0.1977238	0.2392083
58	0	-3737.478	-3721.567	-15.91104	0.2554464	0.233566	0.2486352	-0.1930374	0.0147936	0.546379	0.0122618	0.00973954	0.412708	0.00411769	0.217871	0.00143225	0.0551057	0.465524	3.47794	0.311923	0.283549	0.131047	0.273481	0.02483355	8.773253
59	1	-3741.17	-3726.39	-14.77939	0.2273538	0.1992289	0.28354	0.01388498	0.00618548	0.565196	0.00891222	0.0111524	0.400503	0.0080506	0.02737134	0.000517191	0.0333318	0.381642	3.58451	0.324061	0.281275	0.14388	0.250784	0.04125633	0.663446
60	0	-3737.805	-3720.924	-16.88108	0.2758913	0.2113376	0.2665644	-0.3207693	0.01377	0.53859	0.010603	0.00862118	0.424289	0.00412715	0.3290815	0.000769311	0.0405615	0.412595	3.54607	0.309967	0.281771	0.141626	0.266636	0.008312131	39.5905
61	1	-3749.048	-3730.371	-18.67723	0.237561	0.1885727	0.2529485	0.3903568	0.00982479	0.525454	0.015567	0.0192035	0.425447	0.00450315	0.08208615	0.000349553	0.0274541	0.353182	3.61901	0.31239	0.29432	0.149419	0.243871	0.472443	0.1737483
62	0	-3738.522	-3723.192	-15.32968	0.2359619	0.2120344	0.3018527	-0.1067962	0.0121383	0.493463	0.0111527	0.00771945	0.472345	0.00318208	0.1102739	0.000786003	0.0409938	0.414331	3.54389	0.259322	0.296497	0.149028	0.295153	0.00347771	31.70877
63	1	-3744.263	-3729.577	-14.6863	0.233103	0.2270102	0.2417829	-0.06854918	0.00874938	0.536129	0.0102153	0.0157026	0.424646	0.00455699	0.08620828	0.0012076	0.0506656	0.450435	3.49769	0.298904	0.281614	0.133397	0.286084	0.0176591	4.881804
64	0	-3739.684	-3724.143	-15.54112	0.2068327	0.2363865	0.3153118	-0.1202131	0.01162	0.498859	0.00627444	0.00392135	0.476846	0.00247892	0.122486	0.00153685	0.0570502	0.471884	3.46953	0.284137	0.292546	0.142028	0.281289	0.002272905	53.88963
65	1	-3737.343	-3721.209	-16.13375	0.213351	0.1906167	0.3003501	-0.07486559	0.0114524	0.525059	0.0117835	0.0127029	0.428048	0.0109538	0.1458528	0.000378116	0.0285437	0.358728	3.61235	0.31789	0.2977	0.134904	0.249505	0.07098718	2.054635
